date,price,tether
2/27/2019,3818.301173,2013373180
2/28/2019,3813.666017,2019437558
3/1/2019,3830.640127,2021459017
3/2/2019,3831.57855,2017387443
3/3/2019,3808.464086,2010521870
3/4/2019,3720.409774,2014567185
3/5/2019,3865.75778,2014567185
3/6/2019,3869.496487,1984287870
3/7/2019,3875.381214,1984287870
3/8/2019,3862.119655,1984287870
3/9/2019,3937.064954,1980299352
3/10/2019,3921.152857,1988276388
3/11/2019,3869.300647,1984378923
3/12/2019,3878.494582,1988371638
3/13/2019,3868.462365,1990367995
3/14/2019,3871.78756,1987787774
3/15/2019,3921.016554,1985787987
3/16/2019,4010.615087,1997681224
3/17/2019,3988.903902,1995679539
3/18/2019,3987.298752,1993677854
3/19/2019,4017.108112,2005153900
3/20/2019,4049.987747,2003142713
3/21/2019,3988.828527,2005153900
3/22/2019,3998.592083,2003142713
3/23/2019,3999.469177,2010604850
3/24/2019,3985.721498,2018687684
3/25/2019,3920.644758,2008584142
3/26/2019,3934.656849,2012625559
3/27/2019,4039.945048,2022059069
3/28/2019,4026.930487,2020030926
3/29/2019,4108.1387,2022412650
3/30/2019,4106.956522,2026823937
3/31/2019,4108.788168,2024795084
4/1/2019,4147.531199,2034544280
4/2/2019,4906.514853,2068490462
4/3/2019,4976.007494,2074425109
4/4/2019,4911.506498,2079085856
4/5/2019,5046.951509,2083558303
4/6/2019,5051.861927,2081403648
4/7/2019,5202.100844,2095006306
4/8/2019,5293.39916,2163042453
4/9/2019,5197.657888,2212697580
4/10/2019,5319.366759,2267420826
4/11/2019,5048.641308,2312974429
4/12/2019,5087.089193,2418117282
4/13/2019,5076.744849,2430565715
4/14/2019,5168.121791,2430722804
4/15/2019,5037.091275,2458100406
4/16/2019,5209.477154,2487891042
4/17/2019,5236.603637,2550837562
4/18/2019,5287.375957,2569395459
4/19/2019,5294.349769,2577602243
4/20/2019,5324.650573,2582736908
4/21/2019,5303.668805,2604486942
4/22/2019,5393.919999,2624847353
4/23/2019,5537.061236,2690049277
4/24/2019,5451.337738,2844750543
4/25/2019,5153.185533,2811883141
4/26/2019,5217.246675,2767120014
4/27/2019,5221.144528,2778507340
4/28/2019,5225.171643,2764273086
4/29/2019,5218.564475,2783689644
4/30/2019,5331.674652,2808848958
5/1/2019,5379.607071,2760608719
5/2/2019,5457.627608,2721205767
5/3/2019,5726.635645,2733063782
5/4/2019,5828.384356,2755306417
5/5/2019,5773.577786,2755306417
5/6/2019,5744.271786,2751578171
5/7/2019,5800.140255,2732169770
5/8/2019,5982.250013,2754382533
5/9/2019,6165.420386,2762712318
5/10/2019,6349.41327,2763156574
5/11/2019,7208.122921,2780871889
5/12/2019,6975.698812,2783649983
5/13/2019,7808.272728,2800275595
5/14/2019,7988.239613,2795653908
5/15/2019,8199.379639,2837991173
5/16/2019,7879.755311,2837081400
5/17/2019,7363.75002,2833819563
5/18/2019,7268.402468,2838730567
5/19/2019,8194.586353,2846761594
5/20/2019,8006.698932,2877179782
5/21/2019,7955.456611,2929678352
5/22/2019,7625.423471,2932148773
5/23/2019,7879.680225,2974494779
5/24/2019,8002.161503,3040660788
5/25/2019,8072.149376,3078922365
5/26/2019,8745.007947,3099295631
5/27/2019,8778.324885,3091648338
5/28/2019,8719.181106,3129069557
5/29/2019,8662.55032,3121810596
5/30/2019,8278.596378,3119463974
5/31/2019,8563.81773,3136808968
6/1/2019,8563.695671,3132306575
6/2/2019,8739.728671,3138257362
6/3/2019,8113.303764,3129845985
